H,P,"006722281","JAMJLE PROPERTIES SUBIC AND DEVELOPMENT CORP","","","","JAMJLE PROPERTIES SUBIC AND DEVELOPMENT CORP","PORTION OF BLDG 5163 ARGONAUT HIGHWAY KALAYAAN","SUBIC BAY FREEPORT ZONE SUBIC 2200",0.00,0.00,0.00,0.00,121223.00,14546.76,14546.76,0.00,019,02/28/2021,12
D,P,"000000001","ASASAASA",,,,"X","X",0.00,0.00,0.00,0.00,121223.00,14546.76,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
D,P,"NAN","nan",,,,"nan","nan",NAN,0.00,NAN,0.00,NAN,0.00,006722281,02/28/2021
